file,line_number,issue_type,severity,description,suggested_fix,fix_applied,page_url
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type InspectionFilters',Remove unused import 'type InspectionFilters' if not needed,False,
src\app\admin\inspections\page.tsx,13,code_quality,low,Potentially unused import: 'type ConditionRating',Remove unused import 'type ConditionRating' if not needed,False,
src\app\admin\leases\page.tsx,32,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\page.tsx,176,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\page.tsx,215,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\page.tsx,4,code_quality,low,Potentially unused import: 'Filter',Remove unused import 'Filter' if not needed,False,
src\app\admin\leases\page.tsx,7,code_quality,low,Potentially unused import: 'type LeaseDetail',Remove unused import 'type LeaseDetail' if not needed,False,
src\app\admin\leases\page.tsx,8,code_quality,low,Potentially unused import: 'type RenewalScore',Remove unused import 'type RenewalScore' if not needed,False,
src\app\admin\leases\templates\page.tsx,218,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,332,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,493,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,561,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leases\templates\page.tsx,3,code_quality,low,Potentially unused import: 'useCallback',Remove unused import 'useCallback' if not needed,False,
src\app\admin\leases\templates\page.tsx,25,code_quality,low,Potentially unused import: 'type LeaseTemplate',Remove unused import 'type LeaseTemplate' if not needed,False,
src\app\admin\leases\templates\page.tsx,25,code_quality,low,Potentially unused import: 'type LeaseClause',Remove unused import 'type LeaseClause' if not needed,False,
src\app\admin\leases\templates\page.tsx,25,code_quality,low,Potentially unused import: 'type LeaseTemplateContent',Remove unused import 'type LeaseTemplateContent' if not needed,False,
src\app\admin\leasing-crm\page.tsx,228,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leasing-crm\page.tsx,334,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leasing-crm\page.tsx,431,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\leasing-crm\page.tsx,4,code_quality,low,Potentially unused import: 'MapPin',Remove unused import 'MapPin' if not needed,False,
src\app\admin\leasing-crm\page.tsx,15,code_quality,low,Potentially unused import: 'type Lead',Remove unused import 'type Lead' if not needed,False,
src\app\admin\leasing-crm\page.tsx,15,code_quality,low,Potentially unused import: 'type LeadFilters',Remove unused import 'type LeadFilters' if not needed,False,
src\app\admin\listings\syndication\page.tsx,159,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,242,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,552,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,573,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,595,react_antipattern,medium,JSX element inside .map() may be missing key prop,Add key={uniqueId} prop to the element,False,
src\app\admin\listings\syndication\page.tsx,6,code_quality,low,Potentially unused import: 'DollarSign',Remove unused import 'DollarSign' if not needed,False,
src\app\admin\listings\syndication\page.tsx,6,code_quality,low,Potentially unused import: 'CheckCircle2',Remove unused import 'CheckCircle2' if not needed,False,
src\app\admin\listings\syndication\page.tsx,13,code_quality,low,Potentially unused import: 'type UnitListing',Remove unused import 'type UnitListing' if not needed,False,
